FSC_A	FSC_H	FSC_W	SSC_A	SSC_H	SSC_W	CD34	CD43	CD38	CD90	CD49f	CD31	CD45RA	FLK1	CD73
143839.46875	95010	99217.59375	77499	57430	88437.65625	1.8144406266876	1.90308998699194	1.90591302012281	4.78667773018073	3.94725306300542	2.3484929145911	2.33408918802447	2.35432469131623	2.6642062284642
108341.7265625	69494	102171.171875	49518.78125	39250	82681.859375	0.708067172792095	1.18241466005408	1.88305531469696	4.52598352747666	3.19717563522723	1.1952638416564	2.10648771433563	2.28535109068755	2.58705360856795
144933.125	85815	110683.8828125	86845.4921875	63591	89501.7578125	1.41679310075203	2.04766421835356	1.60912937306343	4.67535747495299	3.44808083474161	1.26603110101539	1.08067770540431	2.28686687420942	2.6354861128489
153154.46875	100347	100024.2265625	66520.375	50427	86451.3046875	1.59136128359472	1.89878000827015	1.73186323965188	4.37616212451226	3.35174058016828	1.46609528645957	2.08417294907531	2.22434506120001	2.32896641037203
123677.671875	83022	97628.828125	62685.7109375	47934	85704.734375	1.18893955260747	1.89878000827015	0.919349927847309	4.32950122173692	2.9686817229457	2.32275503093622	2.16688812407844	2.3902516438905	2.47143733457789
117524.9375	75379	102178.5234375	68590.9609375	52583	85487.2734375	1.10940005575877	1.63215351133488	0.4668695173101	4.66161149262808	3.47806912173348	1.14183196007472	2.19765206515336	2.04946854903021	2.40524636202871
137080.234375	81620	110067.265625	107292.2734375	78644	89409.3203125	1.37541345358526	1.97048635026621	1.34103038091421	4.74060375272001	3.4939940144277	2.01686267613542	1.53213087910748	2.3351212511332	2.60546307368989
83703.8984375	55717	98455.03125	52344.61328125	40741	84201.578125	1.56056845193614	1.41962537223502	2.4541510204579	4.44991728092854	3.28348541543047	1.90245999818096	1.6857137441342	2.25084289416834	2.48056935092146
131994.921875	83399	103723.3046875	66949.34375	49203	89173.2578125	1.46653567886749	1.93611143013945	1.08915319825927	4.64379667882715	3.51759781265998	1.57390957361801	1.08320486898212	2.38391052756957	2.68605669975371
120261.4765625	81268	96981.046875	51831.90234375	39808	85330.96875	1.5389420190764	1.5988999187711	2.26049934031875	4.16479092495433	3.05944842268374	1.71154918753842	2.42281724859128	2.35338859326641	2.31643589520608
142885.203125	99044	94545.1015625	54770.703125	44352	80931.03125	1.47342890792712	1.67769818704209	1.27656732511071	4.2449946735835	3.10481580694989	1.96387049842148	2.30827205453576	2.14978812997029	2.53364080749385
109498.859375	73727	97333.6328125	57162.8203125	44363	84444.7578125	0.684889928163149	1.87656422631115	1.9794693404523	4.67404007203217	3.44990796312915	1.87561291914701	2.25035083900971	2.37982105497935	2.56103886398761
181464.484375	110160	107956.21875	91593.390625	63380	94709.1328125	2.00796243360209	2.04457897520975	1.40279712426062	3.88493162271823	3.82142759564472	2.59402802549035	2.53025035542367	2.74817522504088	2.03879107259553
173299.015625	102599	110696.25	70262.6015625	50499	91184.578125	0.708069399252524	1.95554346301481	1.99907081351237	4.50088440073213	3.59152675421396	1.82213414435796	2.40792725519842	2.4404729684549	2.3670075736584
106023.328125	71406	97307.578125	56838.1328125	43694	85250.6953125	0.846953288853	1.83346586989455	1.76594326083652	4.71634410907953	3.40407795770756	1.64202736092974	2.47001692209006	2.43505708013176	2.65040110390362
108296.1875	72443	97970.8046875	81332.875	60587	87976.484375	1.71092730771523	2.08307241885224	1.55425955151635	4.5823399253535	3.4278218915393	1.32268816975791	1.28840905133649	2.60983844691882	2.65594855390607
172562.796875	105027	107677.796875	115958.5703125	86519	87835.765625	0.574466439556327	2.13382620238976	2.25003797811174	4.99770245954381	3.86883673662919	1.29281112758962	2.52974450549064	2.53444009304548	2.76507619999702
160945.265625	103979	101440.765625	64181.18359375	49663	84694.40625	1.5923774778709	1.8900296134799	1.21982443137977	4.75281425223133	3.16697176436627	2.12969720170667	1.53890682932967	1.97787770342151	2.68317997656273
